Date;Humidity (in %);Temperature (in °C)
'2017-09-21T10:00:00Z';0.74;11.6
'2017-09-21T11:00:00Z';0.69;13.2
'2017-09-21T12:00:00Z';0.61;15.1
'2017-09-21T13:00:00Z';0.58;15.7
'2017-09-21T14:00:00Z';0.58;15.0
'2017-09-21T15:00:00Z';0.58;15.6
'2017-09-21T16:00:00Z';0.56;15.5
'2017-09-21T17:00:00Z';0.59;15.1
'2017-09-21T18:00:00Z';0.61;14.8
'2017-09-21T19:00:00Z';0.65;14.2
'2017-09-21T20:00:00Z';0.66;13.9
'2017-09-21T21:00:00Z';0.64;14.1
'2017-09-21T22:00:00Z';0.65;14.0
'2017-09-21T23:00:00Z';0.65;14.2
'2017-09-22T00:00:00Z';0.67;13.9
'2017-09-22T01:00:00Z';0.68;13.7
'2017-09-22T02:00:00Z';0.69;13.5
'2017-09-22T03:00:00Z';0.70;13.2
'2017-09-22T04:00:00Z';0.73;12.6
'2017-09-22T05:00:00Z';0.73;12.7
'2017-09-22T06:00:00Z';0.74;12.7
'2017-09-22T07:00:00Z';0.73;12.9
'2017-09-22T08:00:00Z';0.72;13.2
'2017-09-22T09:00:00Z';0.71;13.7
'2017-09-22T10:00:00Z';0.69;14.3
'2017-09-22T11:00:00Z';0.66;15.5
'2017-09-22T12:00:00Z';0.65;15.8
'2017-09-22T13:00:00Z';0.62;16.9
'2017-09-22T14:00:00Z';0.64;16.3
'2017-09-22T15:00:00Z';0.72;15.4
'2017-09-22T16:00:00Z';0.64;16.3
'2017-09-22T17:00:00Z';0.65;16.1
'2017-09-22T18:00:00Z';0.69;14.7
'2017-09-22T19:00:00Z';0.72;14.0
'2017-09-22T20:00:00Z';0.67;14.2
'2017-09-22T21:00:00Z';0.70;13.5
'2017-09-22T22:00:00Z';0.74;12.9
'2017-09-22T23:00:00Z';0.78;12.0
'2017-09-23T00:00:00Z';0.80;11.5
'2017-09-23T01:00:00Z';0.88;10.0
'2017-09-23T02:00:00Z';0.92;9.5
'2017-09-23T03:00:00Z';0.91;9.5
'2017-09-23T04:00:00Z';0.83;11.1
'2017-09-23T05:00:00Z';0.83;10.7
'2017-09-23T06:00:00Z';0.82;10.8
'2017-09-23T07:00:00Z';0.84;10.7
'2017-09-23T08:00:00Z';0.77;12.3
'2017-09-23T09:00:00Z';0.72;13.8
'2017-09-23T10:00:00Z';0.68;14.5
'2017-09-23T11:00:00Z';0.66;15.8
'2017-09-23T12:00:00Z';0.69;15.5
'2017-09-23T13:00:00Z';0.66;16.1
'2017-09-23T14:00:00Z';0.63;16.6
'2017-09-23T15:00:00Z';0.59;17.3
'2017-09-23T16:00:00Z';0.58;16.9
'2017-09-23T17:00:00Z';0.74;15.2
'2017-09-23T18:00:00Z';0.83;13.9
'2017-09-23T19:00:00Z';0.89;13.1
'2017-09-23T20:00:00Z';0.84;12.8
'2017-09-23T21:00:00Z';0.80;12.6
'2017-09-23T22:00:00Z';0.80;12.8
'2017-09-23T23:00:00Z';0.78;13.0
'2017-09-24T00:00:00Z';0.78;13.0
'2017-09-24T01:00:00Z';0.78;12.8
'2017-09-24T02:00:00Z';0.80;12.5
'2017-09-24T03:00:00Z';0.83;12.1
'2017-09-24T04:00:00Z';0.87;11.3
'2017-09-24T05:00:00Z';0.80;12.1
'2017-09-24T06:00:00Z';0.81;11.9
'2017-09-24T07:00:00Z';0.86;11.2
'2017-09-24T08:00:00Z';0.80;12.2
'2017-09-24T09:00:00Z';0.77;13.0
'2017-09-24T10:00:00Z';0.76;13.3
'2017-09-24T11:00:00Z';0.75;14.1
'2017-09-24T12:00:00Z';0.71;14.9
'2017-09-24T13:00:00Z';0.70;15.4
'2017-09-24T14:00:00Z';0.70;15.4
'2017-09-24T15:00:00Z';0.70;15.4
'2017-09-24T16:00:00Z';0.73;15.1
'2017-09-24T17:00:00Z';0.75;14.9
'2017-09-24T18:00:00Z';0.77;14.6
'2017-09-24T19:00:00Z';0.82;13.9
'2017-09-24T20:00:00Z';0.84;13.3
'2017-09-24T21:00:00Z';0.89;12.3
'2017-09-24T22:00:00Z';0.90;12.2
'2017-09-24T23:00:00Z';0.89;12.4
'2017-09-25T00:00:00Z';0.89;12.6
'2017-09-25T01:00:00Z';0.89;12.7
'2017-09-25T02:00:00Z';0.90;12.5
'2017-09-25T03:00:00Z';0.89;12.6
'2017-09-25T04:00:00Z';0.92;12.0
'2017-09-25T05:00:00Z';0.94;10.7
'2017-09-25T06:00:00Z';0.93;10.9
'2017-09-25T07:00:00Z';0.93;10.9
'2017-09-25T08:00:00Z';0.90;11.8
'2017-09-25T09:00:00Z';0.85;13.1
'2017-09-25T10:00:00Z';0.79;14.1
'2017-09-25T11:00:00Z';0.77;15.4
'2017-09-25T12:00:00Z';0.71;16.3
'2017-09-25T13:00:00Z';0.73;16.5
'2017-09-25T14:00:00Z';0.74;15.9
'2017-09-25T15:00:00Z';0.67;16.7
'2017-09-25T16:00:00Z';0.67;16.6
'2017-09-25T17:00:00Z';0.60;17.7
'2017-09-25T18:00:00Z';0.65;16.4
'2017-09-25T19:00:00Z';0.71;15.4
'2017-09-25T20:00:00Z';0.76;14.2
'2017-09-25T21:00:00Z';0.82;13.0
'2017-09-25T22:00:00Z';0.88;11.8
'2017-09-25T23:00:00Z';0.89;11.5
'2017-09-26T00:00:00Z';0.91;10.8
'2017-09-26T01:00:00Z';0.91;11.3
'2017-09-26T02:00:00Z';0.90;11.6
'2017-09-26T03:00:00Z';0.89;12.0
'2017-09-26T04:00:00Z';0.92;11.7
'2017-09-26T05:00:00Z';0.94;11.5
'2017-09-26T06:00:00Z';0.94;11.6
'2017-09-26T07:00:00Z';0.93;11.8
'2017-09-26T08:00:00Z';0.90;12.4
'2017-09-26T09:00:00Z';0.84;13.4
'2017-09-26T10:00:00Z';0.81;14.0
'2017-09-26T11:00:00Z';0.78;15.0
'2017-09-26T12:00:00Z';0.74;16.4
'2017-09-26T13:00:00Z';0.70;17.4
'2017-09-26T14:00:00Z';0.66;18.7
'2017-09-26T15:00:00Z';0.58;20.5
'2017-09-26T16:00:00Z';0.55;20.6
'2017-09-26T17:00:00Z';0.55;20.5
'2017-09-26T18:00:00Z';0.63;18.5
'2017-09-26T19:00:00Z';0.75;16.7
'2017-09-26T20:00:00Z';0.82;15.5
'2017-09-26T21:00:00Z';0.76;15.9
'2017-09-26T22:00:00Z';0.78;15.5
'2017-09-26T23:00:00Z';0.84;14.5
'2017-09-27T00:00:00Z';0.91;13.0
'2017-09-27T01:00:00Z';0.93;12.3
'2017-09-27T02:00:00Z';0.94;11.9
'2017-09-27T03:00:00Z';0.95;11.6
'2017-09-27T04:00:00Z';0.96;11.1
'2017-09-27T05:00:00Z';0.96;10.5
'2017-09-27T06:00:00Z';0.97;10.2
'2017-09-27T07:00:00Z';0.97;9.8
'2017-09-27T08:00:00Z';0.97;10.4
'2017-09-27T09:00:00Z';0.92;12.4
'2017-09-27T10:00:00Z';0.82;14.5
'2017-09-27T11:00:00Z';0.69;17.5
'2017-09-27T12:00:00Z';0.68;18.0
'2017-09-27T13:00:00Z';0.66;19.4
'2017-09-27T14:00:00Z';0.64;20.1
'2017-09-27T15:00:00Z';0.69;19.1
'2017-09-27T16:00:00Z';0.71;18.3
'2017-09-27T17:00:00Z';0.72;18.2
'2017-09-27T18:00:00Z';0.76;17.7
'2017-09-27T19:00:00Z';0.78;17.1
'2017-09-27T20:00:00Z';0.80;16.6
'2017-09-27T21:00:00Z';0.81;16.2
'2017-09-27T22:00:00Z';0.88;15.0
'2017-09-27T23:00:00Z';0.91;14.4
'2017-09-28T00:00:00Z';0.91;14.4
'2017-09-28T01:00:00Z';0.93;13.9
'2017-09-28T02:00:00Z';0.94;13.4
'2017-09-28T03:00:00Z';0.96;12.9
'2017-09-28T04:00:00Z';0.96;12.4
'2017-09-28T05:00:00Z';0.97;12.0
'2017-09-28T06:00:00Z';0.97;11.4
'2017-09-28T07:00:00Z';0.96;11.5
'2017-09-28T08:00:00Z';0.96;12.0
'2017-09-28T09:00:00Z';0.86;13.3
'2017-09-28T10:00:00Z';0.76;15.4
'2017-09-28T11:00:00Z';0.63;18.2
'2017-09-28T12:00:00Z';0.56;19.6
'2017-09-28T13:00:00Z';0.52;20.4
'2017-09-28T14:00:00Z';0.46;20.9
'2017-09-28T15:00:00Z';0.45;21.0
'2017-09-28T16:00:00Z';0.46;21.0
'2017-09-28T17:00:00Z';0.46;20.2
'2017-09-28T18:00:00Z';0.51;18.5
'2017-09-28T19:00:00Z';0.57;16.9
'2017-09-28T20:00:00Z';0.66;15.9
'2017-09-28T21:00:00Z';0.69;15.0
'2017-09-28T22:00:00Z';0.73;14.2
'2017-09-28T23:00:00Z';0.80;12.7
'2017-09-29T00:00:00Z';0.79;12.9
'2017-09-29T01:00:00Z';0.84;11.8
'2017-09-29T02:00:00Z';0.90;10.5
'2017-09-29T03:00:00Z';0.91;10.0
'2017-09-29T04:00:00Z';0.92;9.6
'2017-09-29T05:00:00Z';0.94;9.1
'2017-09-29T06:00:00Z';0.94;8.7
'2017-09-29T07:00:00Z';0.96;8.3
'2017-09-29T08:00:00Z';0.94;9.4
'2017-09-29T09:00:00Z';0.84;11.6
'2017-09-29T10:00:00Z';0.75;13.8
'2017-09-29T11:00:00Z';0.64;16.8
'2017-09-29T12:00:00Z';0.56;18.4
'2017-09-29T13:00:00Z';0.52;18.7
'2017-09-29T14:00:00Z';0.51;19.3
'2017-09-29T15:00:00Z';0.49;19.4
'2017-09-29T16:00:00Z';0.47;19.6
'2017-09-29T17:00:00Z';0.46;18.6
'2017-09-29T18:00:00Z';0.51;17.3
'2017-09-29T19:00:00Z';0.62;15.8
'2017-09-29T20:00:00Z';0.67;14.7
'2017-09-29T21:00:00Z';0.71;13.7
'2017-09-29T22:00:00Z';0.74;12.6
'2017-09-29T23:00:00Z';0.69;12.5
'2017-09-30T00:00:00Z';0.69;12.1
'2017-09-30T01:00:00Z';0.68;12.0
'2017-09-30T02:00:00Z';0.67;11.7
'2017-09-30T03:00:00Z';0.68;11.1
'2017-09-30T04:00:00Z';0.70;10.6
'2017-09-30T05:00:00Z';0.74;9.8
'2017-09-30T06:00:00Z';0.85;8.3
'2017-09-30T07:00:00Z';0.88;7.7
'2017-09-30T08:00:00Z';0.82;9.0
'2017-09-30T09:00:00Z';0.71;11.5
'2017-09-30T10:00:00Z';0.62;14.2
'2017-09-30T11:00:00Z';0.54;16.2
'2017-09-30T12:00:00Z';0.41;17.8
'2017-09-30T13:00:00Z';0.42;18.2
'2017-09-30T14:00:00Z';0.40;18.1
'2017-09-30T15:00:00Z';0.41;18.3
'2017-09-30T16:00:00Z';0.43;18.1
'2017-09-30T17:00:00Z';0.44;17.2
'2017-09-30T18:00:00Z';0.46;15.9
'2017-09-30T19:00:00Z';0.49;14.7
'2017-09-30T20:00:00Z';0.53;13.6
'2017-09-30T21:00:00Z';0.55;13.1
'2017-09-30T22:00:00Z';0.55;12.8
'2017-09-30T23:00:00Z';0.56;12.4
'2017-10-01T00:00:00Z';0.59;11.6
'2017-10-01T01:00:00Z';0.64;10.8
'2017-10-01T02:00:00Z';0.68;10.3
'2017-10-01T03:00:00Z';0.68;10.4
'2017-10-01T04:00:00Z';0.68;10.0
'2017-10-01T05:00:00Z';0.66;10.0
'2017-10-01T06:00:00Z';0.69;9.3
'2017-10-01T07:00:00Z';0.70;8.7
'2017-10-01T08:00:00Z';0.62;10.3
'2017-10-01T09:00:00Z';0.55;12.2
'2017-10-01T10:00:00Z';0.46;14.8
'2017-10-01T11:00:00Z';0.42;15.9
'2017-10-01T12:00:00Z';0.42;16.5
'2017-10-01T13:00:00Z';0.41;17.5
'2017-10-01T14:00:00Z';0.39;18.7
'2017-10-01T15:00:00Z';0.37;18.1
'2017-10-01T16:00:00Z';0.38;18.0
'2017-10-01T17:00:00Z';0.41;16.8
'2017-10-01T18:00:00Z';0.46;15.9
'2017-10-01T19:00:00Z';0.53;14.2
'2017-10-01T20:00:00Z';0.56;13.3
'2017-10-01T21:00:00Z';0.57;12.5
'2017-10-01T22:00:00Z';0.66;11.0
'2017-10-01T23:00:00Z';0.74;9.6
'2017-10-02T00:00:00Z';0.78;8.6
'2017-10-02T01:00:00Z';0.82;7.9
'2017-10-02T02:00:00Z';0.83;7.5
'2017-10-02T03:00:00Z';0.83;7.4
'2017-10-02T04:00:00Z';0.86;6.8
'2017-10-02T05:00:00Z';0.88;6.1
'2017-10-02T06:00:00Z';0.90;5.8
'2017-10-02T07:00:00Z';0.91;5.5
'2017-10-02T08:00:00Z';0.85;7.0
'2017-10-02T09:00:00Z';0.74;9.4
'2017-10-02T10:00:00Z';0.62;12.3
'2017-10-02T11:00:00Z';0.51;15.5
'2017-10-02T12:00:00Z';0.45;17.0
'2017-10-02T13:00:00Z';0.41;18.3
'2017-10-02T14:00:00Z';0.38;18.4
'2017-10-02T15:00:00Z';0.38;18.8
'2017-10-02T16:00:00Z';0.38;18.4
'2017-10-02T17:00:00Z';0.42;17.6
'2017-10-02T18:00:00Z';0.44;16.4
'2017-10-02T19:00:00Z';0.49;14.9
'2017-10-02T20:00:00Z';0.52;14.2
'2017-10-02T21:00:00Z';0.55;13.6
'2017-10-02T22:00:00Z';0.62;12.1
'2017-10-02T23:00:00Z';0.66;11.7
'2017-10-03T00:00:00Z';0.70;11.5
'2017-10-03T01:00:00Z';0.70;11.8
'2017-10-03T02:00:00Z';0.69;12.1
'2017-10-03T03:00:00Z';0.69;11.9
'2017-10-03T04:00:00Z';0.79;11.5
'2017-10-03T05:00:00Z';0.90;11.0
'2017-10-03T06:00:00Z';0.93;10.7
'2017-10-03T07:00:00Z';0.94;10.4
'2017-10-03T08:00:00Z';0.94;10.7
'2017-10-03T09:00:00Z';0.92;10.8
'2017-10-03T10:00:00Z';0.94;10.9
'2017-10-03T11:00:00Z';0.92;11.5
'2017-10-03T12:00:00Z';0.94;11.9
'2017-10-03T13:00:00Z';0.94;12.0
'2017-10-03T14:00:00Z';0.95;12.1
'2017-10-03T15:00:00Z';0.91;14.5
'2017-10-03T16:00:00Z';0.84;14.0
'2017-10-03T17:00:00Z';0.81;13.5
'2017-10-03T18:00:00Z';0.78;13.1
'2017-10-03T19:00:00Z';0.81;12.5
'2017-10-03T20:00:00Z';0.83;12.2
'2017-10-03T21:00:00Z';0.83;12.5
'2017-10-03T22:00:00Z';0.79;12.8
'2017-10-03T23:00:00Z';0.82;12.3
'2017-10-04T00:00:00Z';0.84;11.7
'2017-10-04T01:00:00Z';0.81;11.9
'2017-10-04T02:00:00Z';0.80;11.4
'2017-10-04T03:00:00Z';0.82;10.8
'2017-10-04T04:00:00Z';0.82;10.5
'2017-10-04T05:00:00Z';0.84;9.9
'2017-10-04T06:00:00Z';0.87;9.6
'2017-10-04T07:00:00Z';0.87;9.6
'2017-10-04T08:00:00Z';0.78;11.5
'2017-10-04T09:00:00Z';0.71;13.1
'2017-10-04T10:00:00Z';0.65;14.4
'2017-10-04T11:00:00Z';0.57;15.9
'2017-10-04T12:00:00Z';0.49;17.7
'2017-10-04T13:00:00Z';0.44;18.2
'2017-10-04T14:00:00Z';0.45;18.7
'2017-10-04T15:00:00Z';0.46;19.0
'2017-10-04T16:00:00Z';0.49;18.6
'2017-10-04T17:00:00Z';0.52;17.5
'2017-10-04T18:00:00Z';0.61;15.5
'2017-10-04T19:00:00Z';0.68;14.0
'2017-10-04T20:00:00Z';0.75;13.0
'2017-10-04T21:00:00Z';0.79;12.1
'2017-10-04T22:00:00Z';0.79;12.7
'2017-10-04T23:00:00Z';0.77;12.8
'2017-10-05T00:00:00Z';0.78;12.5
'2017-10-05T01:00:00Z';0.70;13.9
'2017-10-05T02:00:00Z';0.69;14.0
'2017-10-05T03:00:00Z';0.69;14.1
'2017-10-05T04:00:00Z';0.66;14.1
'2017-10-05T05:00:00Z';0.66;14.1
'2017-10-05T06:00:00Z';0.66;13.9
'2017-10-05T07:00:00Z';0.63;13.9
'2017-10-05T08:00:00Z';0.60;14.1
'2017-10-05T09:00:00Z';0.56;14.5
'2017-10-05T10:00:00Z';0.56;15.4
'2017-10-05T11:00:00Z';0.54;17.5
'2017-10-05T12:00:00Z';0.42;18.3
'2017-10-05T13:00:00Z';0.28;21.4
'2017-10-05T14:00:00Z';0.27;22.3
'2017-10-05T15:00:00Z';0.26;22.8
'2017-10-05T16:00:00Z';0.27;22.4
'2017-10-05T17:00:00Z';0.29;22.6
'2017-10-05T18:00:00Z';0.33;21.3
'2017-10-05T19:00:00Z';0.35;20.8
'2017-10-05T20:00:00Z';0.43;20.2
'2017-10-05T21:00:00Z';0.80;15.2
'2017-10-05T22:00:00Z';0.81;13.6
'2017-10-05T23:00:00Z';0.87;12.6
'2017-10-06T00:00:00Z';0.77;12.3
'2017-10-06T01:00:00Z';0.70;12.2
'2017-10-06T02:00:00Z';0.68;11.8
'2017-10-06T03:00:00Z';0.63;11.5
'2017-10-06T04:00:00Z';0.72;9.8
'2017-10-06T05:00:00Z';0.79;9.7
'2017-10-06T06:00:00Z';0.81;10.0
'2017-10-06T07:00:00Z';0.79;9.5
'2017-10-06T08:00:00Z';0.70;10.4
'2017-10-06T09:00:00Z';0.66;11.6
'2017-10-06T10:00:00Z';0.62;12.6
'2017-10-06T11:00:00Z';0.61;13.0
'2017-10-06T12:00:00Z';0.64;12.5
'2017-10-06T13:00:00Z';0.62;12.4
'2017-10-06T14:00:00Z';0.56;12.5
'2017-10-06T15:00:00Z';0.79;10.6
'2017-10-06T16:00:00Z';0.76;10.7
'2017-10-06T17:00:00Z';0.69;11.0
'2017-10-06T18:00:00Z';0.71;10.5
'2017-10-06T19:00:00Z';0.73;10.1
'2017-10-06T20:00:00Z';0.74;9.8
'2017-10-06T21:00:00Z';0.71;9.8
'2017-10-06T22:00:00Z';0.71;9.8
'2017-10-06T23:00:00Z';0.73;9.7
'2017-10-07T00:00:00Z';0.76;9.7
'2017-10-07T01:00:00Z';0.77;9.7
'2017-10-07T02:00:00Z';0.78;9.4
'2017-10-07T03:00:00Z';0.78;9.4
'2017-10-07T04:00:00Z';0.75;9.8
'2017-10-07T05:00:00Z';0.76;10.2
'2017-10-07T06:00:00Z';0.75;10.3
'2017-10-07T07:00:00Z';0.73;10.5
'2017-10-07T08:00:00Z';0.73;10.7
'2017-10-07T09:00:00Z';0.72;11.0
'2017-10-07T10:00:00Z';0.64;12.5
'2017-10-07T11:00:00Z';0.62;13.1
'2017-10-07T12:00:00Z';0.62;13.8
'2017-10-07T13:00:00Z';0.56;14.3
'2017-10-07T14:00:00Z';0.69;13.4
'2017-10-07T15:00:00Z';0.66;14.1
'2017-10-07T16:00:00Z';0.67;13.2
'2017-10-07T17:00:00Z';0.64;12.9
'2017-10-07T18:00:00Z';0.69;11.5
'2017-10-07T19:00:00Z';0.68;11.0
'2017-10-07T20:00:00Z';0.70;10.9
'2017-10-07T21:00:00Z';0.74;9.8
'2017-10-07T22:00:00Z';0.77;9.0
'2017-10-07T23:00:00Z';0.74;9.8
'2017-10-08T00:00:00Z';0.76;9.4
'2017-10-08T01:00:00Z';0.75;9.3
'2017-10-08T02:00:00Z';0.77;9.4
'2017-10-08T03:00:00Z';0.80;8.6
'2017-10-08T04:00:00Z';0.82;9.2
'2017-10-08T05:00:00Z';0.64;11.0
'2017-10-08T06:00:00Z';0.70;10.9
'2017-10-08T07:00:00Z';0.77;10.3
'2017-10-08T08:00:00Z';0.78;10.1
'2017-10-08T09:00:00Z';0.78;10.5
'2017-10-08T10:00:00Z';0.78;10.8
'2017-10-08T11:00:00Z';0.75;11.4
'2017-10-08T12:00:00Z';0.71;12.2
'2017-10-08T13:00:00Z';0.69;12.5
'2017-10-08T14:00:00Z';0.68;12.6
'2017-10-08T15:00:00Z';0.72;12.4
'2017-10-08T16:00:00Z';0.71;12.5
'2017-10-08T17:00:00Z';0.74;12.4
'2017-10-08T18:00:00Z';0.75;12.1
'2017-10-08T19:00:00Z';0.78;11.7
'2017-10-08T20:00:00Z';0.77;11.9
'2017-10-08T21:00:00Z';0.77;12.1
'2017-10-08T22:00:00Z';0.75;12.5
'2017-10-08T23:00:00Z';0.86;10.9
'2017-10-09T00:00:00Z';0.91;10.5
'2017-10-09T01:00:00Z';0.87;10.0
'2017-10-09T02:00:00Z';0.87;8.9
'2017-10-09T03:00:00Z';0.83;8.6
'2017-10-09T04:00:00Z';0.86;8.7
'2017-10-09T05:00:00Z';0.82;8.3
'2017-10-09T06:00:00Z';0.81;8.0
'2017-10-09T07:00:00Z';0.80;8.0
'2017-10-09T08:00:00Z';0.77;8.7
'2017-10-09T09:00:00Z';0.67;10.2
'2017-10-09T10:00:00Z';0.62;11.8
'2017-10-09T11:00:00Z';0.51;12.9
'2017-10-09T12:00:00Z';0.54;13.4
'2017-10-09T13:00:00Z';0.53;14.3
'2017-10-09T14:00:00Z';0.55;13.7
'2017-10-09T15:00:00Z';0.55;14.1
'2017-10-09T16:00:00Z';0.53;13.6
'2017-10-09T17:00:00Z';0.60;12.2
'2017-10-09T18:00:00Z';0.68;12.0
'2017-10-09T19:00:00Z';0.78;10.8
'2017-10-09T20:00:00Z';0.79;10.9
'2017-10-09T21:00:00Z';0.80;11.2
'2017-10-09T22:00:00Z';0.80;11.2
'2017-10-09T23:00:00Z';0.81;11.3
'2017-10-10T00:00:00Z';0.82;11.2
'2017-10-10T01:00:00Z';0.82;11.0
'2017-10-10T02:00:00Z';0.80;11.0
'2017-10-10T03:00:00Z';0.77;11.2
'2017-10-10T04:00:00Z';0.74;11.1
'2017-10-10T05:00:00Z';0.77;10.9
'2017-10-10T06:00:00Z';0.78;10.7
'2017-10-10T07:00:00Z';0.77;10.5
'2017-10-10T08:00:00Z';0.75;11.2
'2017-10-10T09:00:00Z';0.72;12.0
'2017-10-10T10:00:00Z';0.66;12.6
'2017-10-10T11:00:00Z';0.67;13.3
'2017-10-10T12:00:00Z';0.71;13.4
'2017-10-10T13:00:00Z';0.59;15.6
'2017-10-10T14:00:00Z';0.56;15.9
'2017-10-10T15:00:00Z';0.55;16.3
'2017-10-10T16:00:00Z';0.57;15.9
'2017-10-10T17:00:00Z';0.56;16.2
'2017-10-10T18:00:00Z';0.57;15.5
'2017-10-10T19:00:00Z';0.63;14.7
'2017-10-10T20:00:00Z';0.71;13.0
'2017-10-10T21:00:00Z';0.76;12.5
'2017-10-10T22:00:00Z';0.72;13.6
'2017-10-10T23:00:00Z';0.76;13.1
'2017-10-11T00:00:00Z';0.76;13.0
'2017-10-11T01:00:00Z';0.77;13.2
'2017-10-11T02:00:00Z';0.78;13.4
'2017-10-11T03:00:00Z';0.78;13.5
'2017-10-11T04:00:00Z';0.77;13.7
'2017-10-11T05:00:00Z';0.77;13.8
'2017-10-11T06:00:00Z';0.75;14.1
'2017-10-11T07:00:00Z';0.75;13.9
'2017-10-11T08:00:00Z';0.74;14.0
'2017-10-11T09:00:00Z';0.68;15.4
'2017-10-11T10:00:00Z';0.64;16.5
'2017-10-11T11:00:00Z';0.58;17.7
'2017-10-11T12:00:00Z';0.58;18.7
'2017-10-11T13:00:00Z';0.52;19.4
'2017-10-11T14:00:00Z';0.46;20.9
'2017-10-11T15:00:00Z';0.42;21.1
'2017-10-11T16:00:00Z';0.49;19.6
'2017-10-11T17:00:00Z';0.51;19.1
'2017-10-11T18:00:00Z';0.58;17.9
'2017-10-11T19:00:00Z';0.72;15.0
'2017-10-11T20:00:00Z';0.76;13.9
'2017-10-11T21:00:00Z';0.78;13.3
'2017-10-11T22:00:00Z';0.78;13.0
'2017-10-11T23:00:00Z';0.83;12.4
'2017-10-12T00:00:00Z';0.86;11.8
'2017-10-12T01:00:00Z';0.88;11.2
'2017-10-12T02:00:00Z';0.91;10.6
'2017-10-12T03:00:00Z';0.93;9.9
'2017-10-12T04:00:00Z';0.94;9.4
'2017-10-12T05:00:00Z';0.95;9.0
'2017-10-12T06:00:00Z';0.95;8.7
'2017-10-12T07:00:00Z';0.96;8.4
'2017-10-12T08:00:00Z';0.90;10.6
'2017-10-12T09:00:00Z';0.66;15.2
'2017-10-12T10:00:00Z';0.58;17.5
'2017-10-12T11:00:00Z';0.59;17.2
'2017-10-12T12:00:00Z';0.52;19.4
'2017-10-12T13:00:00Z';0.45;20.9
'2017-10-12T14:00:00Z';0.42;21.8
'2017-10-12T15:00:00Z';0.43;20.7
'2017-10-12T16:00:00Z';0.49;19.8
'2017-10-12T17:00:00Z';0.54;19.5
'2017-10-12T18:00:00Z';0.60;18.6
'2017-10-12T19:00:00Z';0.66;17.3
'2017-10-12T20:00:00Z';0.66;17.1
'2017-10-12T21:00:00Z';0.70;16.0
'2017-10-12T22:00:00Z';0.66;16.5
'2017-10-12T23:00:00Z';0.64;16.8
'2017-10-13T00:00:00Z';0.61;16.6
'2017-10-13T01:00:00Z';0.64;16.1
'2017-10-13T02:00:00Z';0.63;15.9
'2017-10-13T03:00:00Z';0.66;15.4
'2017-10-13T04:00:00Z';0.65;15.2
'2017-10-13T05:00:00Z';0.69;14.6
'2017-10-13T06:00:00Z';0.70;14.5
'2017-10-13T07:00:00Z';0.76;13.8
'2017-10-13T08:00:00Z';0.67;15.0
'2017-10-13T09:00:00Z';0.60;16.3
'2017-10-13T10:00:00Z';0.57;17.4
'2017-10-13T11:00:00Z';0.60;17.9
'2017-10-13T12:00:00Z';0.56;18.7
'2017-10-13T13:00:00Z';0.56;18.8
'2017-10-13T14:00:00Z';0.44;20.2
'2017-10-13T15:00:00Z';0.49;19.4
'2017-10-13T16:00:00Z';0.53;19.5
'2017-10-13T17:00:00Z';0.56;18.4
'2017-10-13T18:00:00Z';0.61;17.0
'2017-10-13T19:00:00Z';0.65;15.9
'2017-10-13T20:00:00Z';0.67;15.2
'2017-10-13T21:00:00Z';0.75;13.5
'2017-10-13T22:00:00Z';0.65;15.1
'2017-10-13T23:00:00Z';0.67;14.6
'2017-10-14T00:00:00Z';0.72;13.4
'2017-10-14T01:00:00Z';0.75;12.7
'2017-10-14T02:00:00Z';0.74;12.7
'2017-10-14T03:00:00Z';0.75;12.8
'2017-10-14T04:00:00Z';0.77;12.4
'2017-10-14T05:00:00Z';0.84;10.8
'2017-10-14T06:00:00Z';0.84;10.7
'2017-10-14T07:00:00Z';0.88;10.1
'2017-10-14T08:00:00Z';0.85;10.9
'2017-10-14T09:00:00Z';0.73;14.0
'2017-10-14T10:00:00Z';0.61;16.9
'2017-10-14T11:00:00Z';0.58;17.9
'2017-10-14T12:00:00Z';0.58;18.6
'2017-10-14T13:00:00Z';0.55;19.3
'2017-10-14T14:00:00Z';0.49;19.9
'2017-10-14T15:00:00Z';0.50;20.3
'2017-10-14T16:00:00Z';0.52;19.5
'2017-10-14T17:00:00Z';0.57;18.5
'2017-10-14T18:00:00Z';0.68;16.3
'2017-10-14T19:00:00Z';0.75;14.5
'2017-10-14T20:00:00Z';0.78;13.6
'2017-10-14T21:00:00Z';0.80;13.0
'2017-10-14T22:00:00Z';0.83;12.2
'2017-10-14T23:00:00Z';0.86;11.6
'2017-10-15T00:00:00Z';0.87;11.2
'2017-10-15T01:00:00Z';0.90;10.8
'2017-10-15T02:00:00Z';0.92;10.4
'2017-10-15T03:00:00Z';0.93;10.1
'2017-10-15T04:00:00Z';0.94;9.9
'2017-10-15T05:00:00Z';0.94;9.7
'2017-10-15T06:00:00Z';0.95;9.4
'2017-10-15T07:00:00Z';0.95;9.3
'2017-10-15T08:00:00Z';0.96;9.5
'2017-10-15T09:00:00Z';0.86;12.2
'2017-10-15T10:00:00Z';0.80;13.8
'2017-10-15T11:00:00Z';0.66;17.4
'2017-10-15T12:00:00Z';0.64;18.7
'2017-10-15T13:00:00Z';0.60;19.9
'2017-10-15T14:00:00Z';0.58;21.0
'2017-10-15T15:00:00Z';0.54;21.7
